position, SAT_01, SAT_02, SAT_03, SAT_04, SAT_103, SAT_104, SAT_105, SAT_106, SAT_201, SAT_202, SAT_203, SAT_204, SAT_205, SAT_206, SAT_207, SAT_208, SAT_209, SAT_210, SAT_211, SAT_212, SAT_213, SAT_214, SAT_215, SAT_216, SAT_217, SAT_218, SAT_219, SAT_220, SAT_221, SAT_222, SAT_223, SAT_224, SAT_300, SAT_301, SAT_302, SAT_303, SAT_400, SAT_401, SAT_402, SAT_403
-81, -0.831974, -0.831974, -2.0985e-09, -2.0985e-09, -5.33148e-56, -5.33148e-56, -9.89053e-93, -9.89053e-93, -3.46281, -3.46281, 5.14759, 5.14759, -5.36608, -5.36608, 2.03039, 3.36181, -4.49595, -2.34849, -7.40973, -13.5749, 3.3473, 3.3473, 2.25066, 2.25066, -6.35366, -6.35366, 3.36181, 2.03039, -2.34849, -4.49595, -13.5749, -7.40973, 0, 0, 0, 0, 0, 0, 0, 0
-80.5, -0.770738, -0.770738, -1.58553e-09, -1.58553e-09, -1.08536e-55, -1.08536e-55, -2.45628e-92, -2.45628e-92, -3.29744, -3.29744, 5.20454, 5.20454, -5.29503, -5.29503, 1.91053, 3.4832, -4.44959, -2.70579, -7.30913, -13.5484, 3.26226, 3.26226, 2.34198, 2.34198, -6.15293, -6.15293, 3.4832, 1.91053, -2.70579, -4.44959, -13.5484, -7.30913, 0, 0, 0, 0, 0, 0, 0, 0
-80, -0.712661, -0.712661, -1.1957e-09, -1.1957e-09, -2.20516e-55, -2.20516e-55, -6.08803e-92, -6.08803e-92, -3.13411, -3.13411, 5.26368, 5.26368, -5.22331, -5.22331, 1.78774, 3.60907, -4.39634, -3.06279, -7.20921, -13.5209, 3.17872, 3.17872, 2.43027, 2.43027, -5.9524, -5.9524, 3.60907, 1.78774, -3.06279, -4.39634, -13.5209, -7.20921, 0, 0, 0, 0, 0, 0, 0, 0
-79.5, -0.657714, -0.657714, -9.00027e-10, -9.00027e-10, -4.47143e-55, -4.47143e-55, -1.50596e-91, -1.50596e-91, -2.97339, -2.97339, 5.32502, 5.32502, -5.15071, -5.15071, 1.66251, 3.73935, -4.33635, -3.41874, -7.11043, -13.4929, 3.0977, 3.0977, 2.51635, 2.51635, -5.7528, -5.7528, 3.73935, 1.66251, -3.41874, -4.33635, -13.4929, -7.11043, 0, 0, 0, 0, 0, 0, 0, 0
-79, -0.605854, -0.605854, -6.76195e-10, -6.76195e-10, -9.04882e-55, -9.04882e-55, -3.71784e-91, -3.71784e-91, -2.81583, -2.81583, 5.38856, 5.38856, -5.07701, -5.07701, 1.53535, 3.87395, -4.26975, -3.77289, -7.01321, -13.4647, 3.0202, 3.0202, 2.60108, 2.60108, -5.55485, -5.55485, 3.87395, 1.53535, -3.77289, -4.26975, -13.4647, -7.01321, 0, 0, 0, 0, 0, 0, 0, 0
-78.5, -0.557025, -0.557025, -5.07075e-10, -5.07075e-10, -1.82758e-54, -1.82758e-54, -9.16025e-91, -9.16025e-91, -2.66195, -2.66195, 5.45428, 5.45428, -5.00199, -5.00199, 1.40679, 4.0127, -4.19666, -4.12451, -6.91795, -13.4369, 2.94724, 2.94724, 2.68529, 2.68529, -5.35927, -5.35927, 4.0127, 1.40679, -4.12451, -4.19666, -13.4369, -6.91795, 0, 0, 0, 0, 0, 0, 0, 0
-78, -0.511159, -0.511159, -3.79538e-10, -3.79538e-10, -3.68385e-54, -3.68385e-54, -2.25249e-90, -2.25249e-90, -2.51224, -2.51224, 5.52212, 5.52212, -4.9254, -4.9254, 1.27735, 4.15543, -4.11719, -4.4729, -6.82504, -13.4097, 2.87979, 2.87979, 2.76981, 2.76981, -5.16677, -5.16677, 4.15543, 1.27735, -4.4729, -4.11719, -13.4097, -6.82504, 0, 0, 0, 0, 0, 0, 0, 0
-77.5, -0.468177, -0.468177, -2.83545e-10, -2.83545e-10, -7.41082e-54, -7.41082e-54, -5.52786e-90, -5.52786e-90, -2.36716, -2.36716, 5.59203, 5.59203, -4.84701, -4.84701, 1.14757, 4.30189, -4.03145, -4.81738, -6.7348, -13.3837, 2.81881, 2.81881, 2.85546, 2.85546, -4.97804, -4.97804, 4.30189, 1.14757, -4.81738, -4.03145, -13.3837, -6.7348, 0, 0, 0, 0, 0, 0, 0, 0
-77, -0.427993, -0.427993, -2.11433e-10, -2.11433e-10, -1.48789e-53, -1.48789e-53, -1.35391e-89, -1.35391e-89, -2.22713, -2.22713, 5.66391, 5.66391, -4.76654, -4.76654, 1.01797, 4.45181, -3.93952, -5.15729, -6.64754, -13.3592, 2.76521, 2.76521, 2.943, 2.943, -4.79374, -4.79374, 4.45181, 1.01797, -5.15729, -3.93952, -13.3592, -6.64754, 0, 0, 0, 0, 0, 0, 0, 0
-76.5, -0.390512, -0.390512, -1.57364e-10, -1.57364e-10, -2.98136e-53, -2.98136e-53, -3.30951e-89, -3.30951e-89, -2.09253, -2.09253, 5.73765, 5.73765, -4.68375, -4.68375, 0.88908, 4.60489, -3.84147, -5.492, -6.56353, -13.3366, 2.71987, 2.71987, 3.03319, 3.03319, -4.61452, -4.61452, 4.60489, 0.88908, -5.492, -3.84147, -13.3366, -6.56353, 0, 0, 0, 0, 0, 0, 0, 0
