position,BGA_05,BGA_06,BGA_07,BGA_08,BGA_09,BGA_10,BGA_11,BGA_12,BGA_13,BGA_14,BGA_15,BGA_16,BGA_17,BGA_18,BGA_19,BGA_20,BGA_21,BGA_22,BGA_23,BGA_24,BGA_25,BGA_26,BGA_27,BGA_28,BGA_29,BGA_30,BGA_00
108.6,0.1914,0.188,0.3431,0.3445,1.2042,1.2072,-1.0436,-1.0428,-0.1787,-0.1822,1.2613,1.2621,-1.2784,-1.2789,-0.8551,-0.8559,0.8275,0.8309,0.6266,0.6279,0.3254,0.3255,0.1676,0.1677,0.0935,0.093,0
110.7,0.2026,0.2007,0.36,0.361,1.2495,1.2506,-1.0288,-1.0282,-0.3053,-0.3076,1.3135,1.3157,-1.2063,-1.207,-0.9446,-0.9455,0.8309,0.8326,0.6414,0.6427,0.3307,0.3319,0.1684,0.1694,0.0933,0.0918,0
112.7,0.214,0.2134,0.3739,0.3734,1.2911,1.2897,-1.0094,-1.0078,-0.4328,-0.436,1.3637,1.3661,-1.1319,-1.1342,-1.0314,-1.0308,0.83,0.8323,0.654,0.6551,0.3346,0.3363,0.168,0.1699,0.0932,0.091,0
114.8,0.227,0.2263,0.3859,0.3838,1.3257,1.3224,-0.9835,-0.9825,-0.5621,-0.5629,1.4113,1.4128,-1.0603,-1.0629,-1.113,-1.1115,0.8276,0.8294,0.6657,0.6661,0.339,0.339,0.1678,0.169,0.0938,0.0909,0
116.8,0.2388,0.2385,0.3969,0.3951,1.3543,1.3513,-0.954,-0.9539,-0.6893,-0.6888,1.4555,1.4563,-0.9944,-0.9944,-1.1846,-1.1838,0.8255,0.8231,0.6744,0.6744,0.342,0.3405,0.1683,0.1685,0.0915,0.0903,0
118.8,0.2479,0.2491,0.4046,0.4041,1.3765,1.3759,-0.9211,-0.9214,-0.8128,-0.8122,1.498,1.4979,-0.9369,-0.9349,-1.2455,-1.2461,0.8229,0.8191,0.6804,0.6812,0.3422,0.3414,0.168,0.1678,0.0882,0.0885,0
120.9,0.2548,0.2564,0.4093,0.4094,1.3908,1.3912,-0.8834,-0.884,-0.9307,-0.9297,1.5384,1.5379,-0.8906,-0.8894,-1.2949,-1.2956,0.8205,0.8193,0.6854,0.6864,0.3416,0.3418,0.1664,0.1662,0.0866,0.0868,0
123,0.2606,0.2612,0.4122,0.4122,1.3977,1.3983,-0.8431,-0.8437,-1.041,-1.0399,1.5774,1.5765,-0.8605,-0.86,-1.327,-1.3274,0.8199,0.8205,0.6885,0.6883,0.3407,0.3411,0.1645,0.1644,0.0851,0.0852,0
125,0.2642,0.2642,0.4122,0.4122,1.3979,1.3981,-0.8012,-0.8019,-1.1414,-1.1404,1.616,1.6153,-0.8516,-0.8505,-1.3401,-1.3411,0.8242,0.8244,0.6892,0.6888,0.3391,0.3392,0.1624,0.1624,0.0834,0.0835,0
127.1,0.2646,0.2655,0.4096,0.4099,1.39,1.3907,-0.7576,-0.7581,-1.2304,-1.2299,1.6544,1.654,-0.8651,-0.8631,-1.3355,-1.3369,0.8339,0.8326,0.6892,0.6889,0.3373,0.3369,0.1605,0.1605,0.082,0.0822,0
