position,GenIII_05,GenIII_06,GenIII_07,GenIII_08,GenIII_09,GenIII_10,GenIII_11,GenIII_12,GenIII_13,GenIII_14,GenIII_15,GenIII_50,GenIII_16,GenIII_49,GenIII_17,GenIII_51,GenIII_18,GenIII_59,GenIII_19,GenIII_20,GenIII_21,GenIII_22,GenIII_23,GenIII_24,GenIII_25,GenIII_52,GenIII_26,GenIII_58,GenIII_27,GenIII_28,GenIII_29,GenIII_30,GenIII_31,GenIII_53,GenIII_32,GenIII_54,GenIII_33,GenIII_34,GenIII_35,GenIII_36,GenIII_37,GenIII_38,GenIII_39,GenIII_54,GenIII_40,GenIII_56,GenIII_41,GenIII_55,GenIII_42,GenIII_43,GenIII_44,GenIII_45,GenIII_46,GenIII_47,GenIII_48,GenIII_Shield
-386,0,0,0,0,2.514375,2.532272,-0.052571,-0.060768,-3.848249,-3.848003,-0.492467,-0.492467,-0.497789,-0.497789,2.39606,2.39606,2.397803,2.397803,0.182229,0.183584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-383,0,0,0,0,2.543068,2.558268,0.114421,0.107947,-3.794612,-3.794022,-0.72647,-0.72647,-0.732234,-0.732234,2.278721,2.278721,2.280445,2.280445,0.33955,0.341022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-379,0,0,0,0,2.521766,2.533522,0.293402,0.289093,-3.682276,-3.682009,-1.028141,-1.028141,-1.033562,-1.033562,2.127626,2.127626,2.12963,2.12963,0.602546,0.605741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-375,0,0,0,0,2.469282,2.477119,0.468814,0.466998,-3.522276,-3.522528,-1.345744,-1.345744,-1.350879,-1.350879,1.953027,1.953027,1.955392,1.955392,0.891243,0.8962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-371,0,0,0,0,2.380464,2.384309,0.643613,0.644133,-3.318932,-3.320259,-1.671565,-1.671565,-1.676419,-1.676419,1.761543,1.761543,1.76489,1.76489,1.189757,1.196879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-368,0,0,0,0,2.310074,2.311096,0.804337,0.806979,-3.131226,-3.132336,-1.936527,-1.936527,-1.941454,-1.941454,1.586689,1.586689,1.589273,1.589273,1.393858,1.402467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-364,0,0,0,0,2.148561,2.146932,0.985901,0.990606,-2.86594,-2.868544,-2.259646,-2.259646,-2.262799,-2.262799,1.384103,1.384103,1.385978,1.385978,1.672611,1.683501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-360,0,0,0,0,1.942889,1.938742,1.176767,1.183145,-2.576046,-2.579564,-2.570701,-2.570701,-2.573665,-2.573665,1.184835,1.184835,1.187002,1.187002,1.919971,1.93395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-356,0,0,0,0,1.693095,1.687746,1.378786,1.386215,-2.266983,-2.271423,-2.863038,-2.863038,-2.86518,-2.86518,0.996463,0.996463,0.99815,0.99815,2.124405,2.1414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-353,0,0,0,0,1.501417,1.495783,1.559378,1.567478,-2.00885,-2.014045,-3.078413,-3.078413,-3.079731,-3.079731,0.832999,0.832999,0.833956,0.833956,2.227121,2.246506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
